"","name","institution","delete"
"1","Kathryn A. Robb","University of Glasgow",""
"2","Alexandre Morin","University of Western Sydney, Australia",""
"3","Robert Costigan","Department of Management, St. John Fisher College, Rochester, NY, USA",""
"4","A.C. Igboanugo","University of Benin",""
"5","Mariel Mateo Pinones","University of Chile",""
"6","Samuel R. Nyman","Bournemouth University",""
"7","Shimels Mohammed","Tehran University of Medical Sciences-International Campus",""
"8","Rudolf Kerschbamer","University of Innsbruck",""
"9","Maryam Vamdar","Islamic Azad University",""
"10","Valentina Di Stasio","University of Oxford, Oxford, UK",""
"11","Peter M. Steiner","Department of Educational Psychology, University of Wisconsin-Madison, Madison, WI, USA",""
"12","Vikram Pal Aggarwal","Department of Public Health Dentistry, Surendera Dental College and Research Institute, Sri Ganganagar, Rajasthan, India",""
"13","Lina Bedoya","University of San Buenaventura Medellín",""
"14","Patrick Kotzur","Universität Osnabrück",""
"15","Gabriele Ligorio","The BioRobotics Institute, Scuola Superiore Sant’Anna, Pisa, Italy",""
"16","C. Arora","Faculty of Medicine, Nursing and Health Sciences, Monash University, Melbourne, VIC, Australia Monash Hospital, Clayton, VIC, Australia",""
"17","Claire Rickard","Griffith University",""
"18","Sushree Panda","KIIT University",""
"19","Armelle Mbaveng","University of Mainz","x"
"20","Yin Shuiqing","Beijing Normal University",""
"21","Christian Fabiansen","University of Copenhagen",""
"22","Mehdi Srifi","Mohammed V University",""
"23","Pascale Deneulin","Fachhochschule Nordwestschweiz FHNW",""
"24","Mikias Kebede","Debre Berhan University",""
"25","Kevin Kwok-yin Cheng","The Chinese University of Hong Kong",""
"26","Elizabeth MacDougall","Hood College",""
"27","Neda Ahmadzadeh Tori","Tehran University of Medical Sciences",""
"28","Po-Huang Chyou","Biomedical Informatics Research Center, Marshfield Clinic, Marshfield, WI",""
"29","Morten Magelssen","Centre for Medical Ethics, Institute of Health and Society, University of Oslo, Oslo, Norway",""
"30","Behnaz Kazerooni Zand","Islamic Azad UniversitySariIran",""
"31","Yasemin Atik Altınok","Ege University Faculty of Medicine, Department of Pediatric Endocrinology, İzmir, Turkey",""
"32","Rohan Barse","National University",""
"33","Virginia Rollon-Ugade","Virgin Macarena University",""
"34","Deanna Denman","Southern Methodist University",""
"35","Sheryl Chatfield","Kent State University",""
"36","Mia Cahill","Rutgers University",""
"37","Evangelos Psomas","Department of Business Administration of Food and Agricultural Enterprises, University of Patras, Agrinio, Greece",""
"38","Deepak Koyilerian Prabhakaran","MOSC Medical College, Kolenchery, Kerala",""
"39","Laurent Marchal Bertrand","Universitaria Konrad Lorenz, Bogotá",""
"40","Iris Kesternich","University of Leuven",""
"41","Rose Pfefferbaum","University of Oklahoma",""
"42","Dongmiao Wang","School of Electrical and Electronic Engineering , The University of Manchester ,",""
"43","José Tomás","Universidad de Valencia (Spain)",""
"44","Soumaya Gmar","Laboratory of Natural Water Treatment Center of Researches and Water Technologies Soliman Tunisia",""
"45","Sabina Baraković","Faculty of Traffic and Communications University of Sarajevo Sarajevo Bosnia and Herzegovina /.American University in Bosnia and HerzegovinaSarajevoBosnia and Herzegovina",""
"46","Christian Agyare","Kwame Nkrumah University of Science and Technology","x"
"47","W. Adamowicz","University of Alberta",""
"48","Armelle Mbaveng","Institute of Pharmacy and Biochemistry, University of Mainz",""
"49","Fernando Santini","Faculdade SENACRS",""
"50","Shimels Hussien Mohammed","Tehran University of Medical Sciences",""
"51","Corine Buers","Utrecht University School of Governance, Utrecht University",""
"52","Sanne Kruikemeier","Political Communication, Amsterdam School of Communication Research, University of Amsterdam, The Netherlands.",""
"53","Karrie A. Shogren","University of Kansas",""
"54","E.L. CIUREA","University of Medicine and Pharmacy of Craiova",""
"55","Cleto Miranda-Neto","Departamento De Matemática, Universidade Federal Da Paraíba",""
"56","Monica Martinez-Gomez","Universitat Politècnica de Catalunya (UPC)",""
"57","Fu-Chun Wu","National Taiwan University",""
"58","Micaela Pinho","Portucalense University",""
"59","Natalia Maloshonok","University Higher School of Economics (HSE), Moscow",""
"60","Scott Clifford","University of Houston",""
"61","Kukić Filip","Strategic management and performance improvement department, Sport activities section, Abu Dhabi Police, UAE",""
"62","Maria Rosita Cagnina","University of Udine",""
"63","Silvana Montenegro","Facultad de Ciencias Médicas, Universidad Nacional de Rosario, Rosario, Argentina",""
"64","Rebecca Fish","Division of Cancer Sciences, School of Medical Sciences, Faculty of Biology, Medicine and Health, University of Manchester, Manchester, UK & Colorectal and Peritoneal Oncology Centre, Christie NHS Foundation Trust, Manchester, UK",""
"65","Michael Greenacre","Universitat Pompeu Fabra, Barcelona, Spain",""
"66","Prasanthi Boddu","Almanhal",""
"67","Claus-Peter Ernst","Frankfurt University of Applied Sciences",""
"68","Ulf Liebea","Institute of Sociology, University of Bern, Fabrikstrasse 8, CH-3012 Bern, Switzerland",""
"69","Brian Powell","Department of Sociology, Indiana University",""
"70","Sophie Albrecht","Stockholm University",""
"71","Josua Oll","University of Hamburg",""
"72","J. Ripollés-Melchor","Complutense University of Madrid",""
"73","Reina Granados","Mind, Brain, and Behavior Research Center, Universidad de Granada, Spain",""
"74","Kenneth Chapman","University of Toronto",""
"75","Fernando Bellíssimo-Rodrigues","University of São Paulo",""
"76","Roberto Barrientos-Medina","Universidad Autónoma de Yucatán",""
"77","MIguel Gomez","ETH Zurich",""
