"name","institution"
"Bruce J. Eberhardt","University of North Dakota"
"Bruce J. Eberhardt","University of North Dakota"
"Samia L. Massoud","Texas A&M University"
"Michael McKenna","Georgia Southern University"
"Bruce Eberhardt","University of North Dakota"
"Dennis Rome","Texas A&M University"
"Dennis M. Rome","Indiana University"
"Ken Canfield","National Center for Fathering"
"Gillian Brunier","Sunnybrook Health Sciences Centre , Toronto"
"Bruce Eberhardt","University of North Dakota"
"Leona Aiken","National Center for Fathering"
"Mark Warr","University of Texas"
"Tom D. Taber","University of New York at Albany"
"Bruce J. Eberhardt","University of North Dakota"
"Michael C. McKenna","University of New York at Albany"
"Kathleen McKinney","Illinois State University"
"Bruce J. Eberhardt","University of North Dakota"
"Ronet Bachman","University of Delaware"
"W.A Arrindell, ARRINDELL","Vrije Universiteit, Faculty of Medicine, Department of Psychiatry at the Amsterdam Psychiatric Centre, Valeriusplein 9, 1075 BG Amsterdam, The Netherlands"
"Bernard Gallagher","Villanova University"
"Louise Fitzgerald","Saïd Business School "
"Craig St John","University of Oklahoma"
"Paul Biner","Ball State University"
"Raymond LaGarce","Southern Illinois University"
"W.A Arrindell","Amsterdam Psychiatric Centre"
"Marianne Welsh","Anaheim Union High School District"
"Stephen Osborne","University of Edinburgh Business School"
"Jane Webster","Newcastle University"
"Thomas G. Tape","University of Nebraska Medical Center"
"Douglas D.Baker","Washington State University"
"Richard A. Berk","Center for the Study of the Environment and Society Department of Sociology and Interdivisional Program in StatisticsUCLAUSA"
"M. Hennessy","Prevention Research Center, Berkeley, California"
"Peter Milgrom","University of Washington School of Dentistry"
"Kamwing Ng","Shanghai Jiao Tong University"
"John MacKenzie","University of Delaware"
"Raymond LaGarce","Southern Illinois University-Edwardsville, USA"
"Marianne Welsh","Anaheim Union High School District"
"Raymond LaGrace","Southern Illinois University-Edwardsville"
"G. Marin","VanossDepartment of Psychology, University of San Francisco"
"Peter John","University of texas"
"Mourad Ismail","Cairo University"
"T. K. MANDAL","xavier university of louisiana"
"M Hennessy R F Saltz","Prevention Research Center, Berkeley"
"T. K. MANDAL","xavier university of louisiana"
"Christopher Hunter","University of Otago, University of Sheffield"
"T.K. Mandal","Indian Association for the Cultivation of Science, Kolkata"
"H.C. ZHANG","Texas Tech University"
"T. K. MANDAL","Xavier University"
"John R. Cannon","University of NevadaReno"
"Joop Hox","University of Amsterdam"
"A Myrick Freeman","Bowdoin College"
"Philip Gendall","Massey University"
"Elizabeth A. Martin","University of Missouri"
"Janette Beals","University of Colorado"
"Patricia Shiono","Center for the Future of Children, David and Lucile Packard FoundationLos Altos, CA"
"Mary Beth Love","San Francisco State University"
"Christopher Hunter","Grinnell College"
"Victor Whiteman","Michigan State University"
"Lee Sigelman","University of Arizona"
"Kenneth J. Ottenbacher","State University of New York at Buffalo"
"Edwin Lapointe","Cambridge University"
"A. Castric","Laboratoire de Biologie Marine du College de France"
"Sandeep Kumar","Raman Research Institute (India)"
"R. Ryan Nelson","University of Virginia"
"Roderick J.A.Little","Richard D. Remington Distinguished University Professor of Biostatistics"
"CHING-SHUI CHENG","University of California Berkeley"
"Penelope Canan","university of Denver"
"Eran Feitelson","University of Jerusalem"
"David Rauma","United States Sentencing Commusion"
"S. Kumar","Motorola Inc., Austin, TX, USA"
"Yvonne Gold","California State University"
"B. Mohlin","University of Göteborg"
"JL Miller","american journal"
"FEITELSON EI","The Johns Hopkins University"
"I.-Chung Tung","Rutgers University"
"Chung Tungs","Department of Mechanics and Materials ScienceRutgers UniversityPiscataway USA"
"Hubert Comon","Laboratoire de Recherche en Informatique"
"Hervé Monod","Laboratoire de Biométrie, INRA-Versailles"
"H.M.A. Thistlewood","Research Branch, Agriculture Canada, Vineland Research Station, Ontario, Canada"
"Yvonne Gold","California State University"
"Barbara Gutek","Department of management and policy, University of Arizona"
"Susan Whelen","Baylor College of Medicine"
"Allen Goodman","Wayne State University"
"P. Goovaerts","Universite Catholique de Louvain"
"Kent McClelland","Grinnell College"
"Pierre GOOVAERTS","University of Florida"
"Paul Baker","University of Victoria"
"Kenneth Hopkins","UNIVERSITY OF COLORADO"
"Berman D. Hudson","USDA-SCS"
"Eran Feitelson","The Hebrew University of Jerusalem"
"Mike Brennan","Department of Marketing, Massey University"
"Eleonora Gullone","Monash University"
"Herman Melville Margaret Mitchell","Edgar Allan Poe"
"Kathleen McKinney","Illinois State University"
"E Rafajlowicz","Instytut Cybernetyki Technicznej"
"Joseph Thas","Ghent University"
"Kathleen McKinley","Illinois State UniversityUSA"
"R. A. Bailey","University of St Andrews · School of Mathematics and Statistics"
"Joseph Gfroerer","National Institute on Drug Abuse"
"Gary D.Plotnick","University of Maryland"
"S.K Ford","Department of Psychology at the University of Melbourne"
"G. Ter Riet","University of Limburg"
"Quint Thurman","University of the Southwest"
"Thurman Jackson","Washington State University"
"Ja Will","Univ N Florida, Dept Sociol & Criminal Justice, Jacksonville"
"Barbara M. Byrne","School of Psychology, university of Ottawa"
"Kirk Blankstein","York University"
"Thomas V. Perneger","Institute of Social and Preventive Medicine, University of Geneva"
"Colleen A. Mchorney","University of Kentucky, University of Wisconsin-Madison School of Medicine"
"Kirk Blankstein","York University"
"Kasim Alli","Clark Atlanta University"
"Rosario Jimenez-Espinosa","University of Granada"
"C Gan","Cambridge"
"Nico L. van der Sar","Erasmus University Rotterdam, Rottterdam, The Netherlands"
"JP Lynch","Department of Justice, Law and Society, School of Public AffairsThe American UniversityWashington, DC"
"Bernard Delobel","INSA Laboratoire de Biologie Appliquée"
"Louise Fitzgerald","University of Illinois"
"JUDITH FREIDENBERG","University of New York"
"TR Belin","UCLA"
"Richard Gitelson","Pennsylvania State University"
"Eran Feitelson","Hebrew University of Jerusalem"
"Teruhiro Shirakura","Kobe University"
"Michael Goodchild","University of California"
"Catherine Hennessy","University of Stirling"
"Carl Rieder","Newport Harbor Academy of Dentistry"
"J.A. will","University of Liverpool"
"Richard Gitelson","pennsylvania state university"
"R. L. Chambers","Australian National University"
"Theodore Fuller","College of Liberal Arts and Human Sciences"
"Michelle Marks","George MAson University"
"Vern Bengtson","University of Southern California"
