"name","institution"
"Kathryn A. Robb","University of Glasgow"
"Alexandre Morin","University of Western Sydney, Australia"
"Robert Costigan","Department of Management, St. John Fisher College, Rochester, NY, USA"
"A.C. Igboanugo","University of Benin"
"Mariel Mateo Pinones","University of Chile"
"Samuel R. Nyman","Bournemouth University"
"Shimels Mohammed","Tehran University of Medical Sciences-International Campus"
"Rudolf Kerschbamer","University of Innsbruck"
"Maryam Vamdar","Islamic Azad University"
"Valentina Di Stasio","University of Oxford, Oxford, UK"
"Peter M. Steiner","Department of Educational Psychology, University of Wisconsin-Madison, Madison, WI, USA"
"Vikram Pal Aggarwal","Department of Public Health Dentistry, Surendera Dental College and Research Institute, Sri Ganganagar, Rajasthan, India"
"Lina Bedoya","University of San Buenaventura Medellín"
"Patrick Kotzur","Universität Osnabrück"
"Gabriele Ligorio","The BioRobotics Institute, Scuola Superiore Sant’Anna, Pisa, Italy"
"C. Arora","Faculty of Medicine, Nursing and Health Sciences, Monash University, Melbourne, VIC, Australia Monash Hospital, Clayton, VIC, Australia"
"Claire Rickard","Griffith University"
"Sushree Panda","KIIT University"
"Yin Shuiqing","Beijing Normal University"
"Christian Fabiansen","University of Copenhagen"
"Mehdi Srifi","Mohammed V University"
"Pascale Deneulin","Fachhochschule Nordwestschweiz FHNW"
"Mikias Kebede","Debre Berhan University"
"Kevin Kwok-yin Cheng","The Chinese University of Hong Kong"
"Elizabeth MacDougall","Hood College"
"Neda Ahmadzadeh Tori","Tehran University of Medical Sciences"
"Po-Huang Chyou","Biomedical Informatics Research Center, Marshfield Clinic, Marshfield, WI"
"Morten Magelssen","Centre for Medical Ethics, Institute of Health and Society, University of Oslo, Oslo, Norway"
"Behnaz Kazerooni Zand","Islamic Azad UniversitySariIran"
"Yasemin Atik Altınok","Ege University Faculty of Medicine, Department of Pediatric Endocrinology, İzmir, Turkey"
"Rohan Barse","National University"
"Virginia Rollon-Ugade","Virgin Macarena University"
"Deanna Denman","Southern Methodist University"
"Sheryl Chatfield","Kent State University"
"Mia Cahill","Rutgers University"
"Evangelos Psomas","Department of Business Administration of Food and Agricultural Enterprises, University of Patras, Agrinio, Greece"
"Deepak Koyilerian Prabhakaran","MOSC Medical College, Kolenchery, Kerala"
