"","HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.website_url","Input.index","Answer.article_title","Answer.first_name1","Answer.first_name2","Answer.inst1","Answer.inst2","Answer.journal_name","Answer.last_name1","Answer.last_name2","Answer.reason_cannot_find","Approve","Reject"
"1","32204AGAACRWD6RYOP14Q8AFJ4UHG7","3XAT7XIOX0GI69POTIHWJEWTOA0W8Q","Find the author and emails of articles","Click on the website link and find out the authors and their emails of the specified article.","data collection, website, data extraction","$0.20","Fri Aug 30 02:54:26 PDT 2019",1,"BatchId:3752080;OriginalHitTemplateId:926158632;",600,604800,"Sat Aug 31 02:54:26 PDT 2019",NA,NA,"3TXMY6UCAG3YV78QVVXGXFDQ71EQCY","A1JYF5ULFZS8L","Approved","Fri Aug 30 04:05:10 PDT 2019","Fri Aug 30 04:08:01 PDT 2019","Fri Sep 06 04:08:01 PDT 2019","Tue Sep 03 10:28:46 PDT 2019","","",171,"81% (26/32)","81% (26/32)","0% (0/0)","https://scholar.google.com.sg/scholar?start=0&q=""""factorial+survey""""&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=1990""
",1,"Development of the farm stress survey: Factorial structure, reliability, and validity","Bruce","M. Tom","University of North Dakota","Towson State University","Educational and Psychological Measurement","J. Eberhardt","Basuray","{}","x",""
"2","3DA79LNS5AALO365T4B9LXOUQTKT3L","3XAT7XIOX0GI69POTIHWJEWTOA0W8Q","Find the author and emails of articles","Click on the website link and find out the authors and their emails of the specified article.","data collection, website, data extraction","$0.20","Fri Aug 30 02:54:17 PDT 2019",2,"BatchId:3752080;OriginalHitTemplateId:926158632;",600,604800,"Tue Sep 03 11:28:45 PDT 2019",NA,NA,"3U5JL4WY5MOF90WNOUMQ8PXVCRHX4M","A1YDP15X5T2VY9","Rejected","Fri Aug 30 03:19:56 PDT 2019","Fri Aug 30 03:23:20 PDT 2019","Fri Sep 06 03:23:20 PDT 2019","","Tue Sep 03 10:28:45 PDT 2019","did not meet requirements",204,"35% (19/54)","35% (19/54)","0% (0/0)","https://scholar.google.com.sg/scholar?start=10&q=""""factorial+survey""""&hl=en&as_sdt=0,5&as_ylo=1995&as_yhi=1995""
",10,"The Gray-Wheel wrights Jungian Type Survey: Development and history","Mary Ann","Melinda","{}","{}","Journal of Analytical Psychology","Mattoon","Davis","there are no institutes","","did not meet requirements"
"3","3UDTAB6HH7E6NWYUCBO9SZPBTAX906","3XAT7XIOX0GI69POTIHWJEWTOA0W8Q","Find the author and emails of articles","Click on the website link and find out the authors and their emails of the specified article.","data collection, website, data extraction","$0.20","Fri Aug 30 02:54:26 PDT 2019",2,"BatchId:3752080;OriginalHitTemplateId:926158632;",600,604800,"Tue Sep 03 11:28:45 PDT 2019",NA,NA,"3FTF2T8WLTX1H6X9VKMVNEU4PHT9W5","A29ZTF7JUO8F39","Rejected","Fri Aug 30 04:20:35 PDT 2019","Fri Aug 30 04:25:29 PDT 2019","Fri Sep 06 04:25:29 PDT 2019","","Tue Sep 03 10:28:45 PDT 2019","did not meet requirements",294,"4% (2/49)","4% (2/49)","0% (0/0)","https://scholar.google.com.sg/scholar?start=0&q=""""factorial+survey""""&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=1990""
",2,"factorial survey","Bruce J.","Abdullah","University of North Dakota","Wright State University","Development of the Farm Stress Survey: Factorial Structure, Reliability, and Validity","Eberhardt","Pooyan","{}","","did not meet requirements"
"4","3UDTAB6HH7E6NWYUCBO9SZPBTAX906","3XAT7XIOX0GI69POTIHWJEWTOA0W8Q","Find the author and emails of articles","Click on the website link and find out the authors and their emails of the specified article.","data collection, website, data extraction","$0.20","Fri Aug 30 02:54:26 PDT 2019",2,"BatchId:3752080;OriginalHitTemplateId:926158632;",600,604800,"Tue Sep 03 11:28:45 PDT 2019",NA,NA,"3JC6VJ2SADYL96SURPDMT9SBCT35AE","AF7ZV0U3CGOK0","Approved","Tue Sep 03 10:48:07 PDT 2019","Tue Sep 03 10:49:42 PDT 2019","Tue Sep 10 10:49:42 PDT 2019","Tue Sep 10 10:49:56 PDT 2019","","",95,"95% (18/19)","95% (18/19)","0% (0/0)","https://scholar.google.com.sg/scholar?start=0&q=""""factorial+survey""""&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=1990""
",2,"Factorial Validity of a Computer Attitude Scale","Samia L.","Single","Texas A&M University","Single","Journal of Research on Computing in Education","Massoud","Single","{}","x",""
"5","3X2LT8FDHXXZHHG50QBGZY34A9U8WI","3XAT7XIOX0GI69POTIHWJEWTOA0W8Q","Find the author and emails of articles","Click on the website link and find out the authors and their emails of the specified article.","data collection, website, data extraction","$0.20","Fri Aug 30 02:54:17 PDT 2019",1,"BatchId:3752080;OriginalHitTemplateId:926158632;",600,604800,"Sat Aug 31 02:54:17 PDT 2019",NA,NA,"3Z2R0DQ0JJTW0MQJPBDARLFQC7F2ER","A1XK5UV31RCAHC","Approved","Fri Aug 30 04:24:51 PDT 2019","Fri Aug 30 04:26:47 PDT 2019","Fri Sep 06 04:26:47 PDT 2019","Tue Sep 03 10:28:46 PDT 2019","","",116,"58% (11/19)","58% (11/19)","0% (0/0)","https://scholar.google.com.sg/scholar?start=20&q=""""factorial+survey""""&hl=en&as_sdt=0,5&as_ylo=1995&as_yhi=1995""
",1,"Children's Attitudes toward Reading: A National Survey","Michael","Randolph","Georgia Southern University","Wichita State University","Reading Research Quarterly","McKenna","Ellsworth","{}","x",""
"6","3ZXNP4Z39S0F69ZNM7C8CNQT1IKL7F","3XAT7XIOX0GI69POTIHWJEWTOA0W8Q","Find the author and emails of articles","Click on the website link and find out the authors and their emails of the specified article.","data collection, website, data extraction","$0.20","Fri Aug 30 02:54:26 PDT 2019",1,"BatchId:3752080;OriginalHitTemplateId:926158632;",600,604800,"Sat Aug 31 02:54:26 PDT 2019",NA,NA,"3S06PH7KSTJKJVUNAC2CGKN0KPX1DD","A2SL3JFI9CA0HE","Approved","Fri Aug 30 03:33:47 PDT 2019","Fri Aug 30 03:42:27 PDT 2019","Fri Sep 06 03:42:27 PDT 2019","Tue Sep 03 10:28:47 PDT 2019","","",520,"69% (9/13)","69% (9/13)","0% (0/0)","https://scholar.google.com.sg/scholar?start=0&q=""""factorial+survey""""&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=1990""
",3,"Development of the Farm Stress Survey: Factorial Structure, Reliability, and Validity","Bruce","Abdullah","University of North Dakota","Wright State University","Educational and Psychological Measurement","Eberhardt","Pooyan","{}","x",""
"7","3ACRLU860OTO2FSLI21K4UM5BBAEB7","3XAT7XIOX0GI69POTIHWJEWTOA0W8Q","Find the author and emails of articles","Click on the website link and find out the authors and their emails of the specified article.","data collection, website, data extraction","$0.20","Fri Aug 30 02:54:17 PDT 2019",2,"BatchId:3752080;OriginalHitTemplateId:926158632;",600,604800,"Tue Sep 03 11:28:45 PDT 2019",NA,NA,"3KGTPGBS6Z0DPIN5FBSFV31TYV5U2W","A1YDP15X5T2VY9","Rejected","Fri Aug 30 03:37:07 PDT 2019","Fri Aug 30 03:38:12 PDT 2019","Fri Sep 06 03:38:12 PDT 2019","","Tue Sep 03 10:28:45 PDT 2019","did not meet requirements",65,"35% (19/54)","35% (19/54)","0% (0/0)","https://scholar.google.com.sg/scholar?start=20&q=""""factorial+survey""""&hl=en&as_sdt=0,5&as_ylo=1995&as_yhi=1995""
",2,"Police use of excessive force: Does the race of the suspect influence citizens' perceptions?","Dennis","Mark","{}","{}","Social Justice Research","Rome","Davis","No institution in site","","did not meet requirements"
"8","3ACRLU860OTO2FSLI21K4UM5BBAEB7","3XAT7XIOX0GI69POTIHWJEWTOA0W8Q","Find the author and emails of articles","Click on the website link and find out the authors and their emails of the specified article.","data collection, website, data extraction","$0.20","Fri Aug 30 02:54:17 PDT 2019",2,"BatchId:3752080;OriginalHitTemplateId:926158632;",600,604800,"Tue Sep 03 11:28:45 PDT 2019",NA,NA,"3NAPMVF0ZYUBR7B923Z4LBN9RB772P","A2EZBYNOFGDEMA","Approved","Tue Sep 03 11:07:39 PDT 2019","Tue Sep 03 11:07:47 PDT 2019","Tue Sep 10 11:07:47 PDT 2019","Tue Sep 10 11:07:56 PDT 2019","","",8,"100% (72/72)","100% (72/72)","0% (0/0)","https://scholar.google.com.sg/scholar?start=20&q=""""factorial+survey""""&hl=en&as_sdt=0,5&as_ylo=1995&as_yhi=1995""
",2,"fasfas","safsafasfas","asfasfasfsa","fasfasfasf","asfasfasfsa","fsafasf","fsafas","safasf","{}","","did not meet requirements"
"9","3OLZC0DJ8KUFRYSDJ2IBQLE46WXIVQ","3XAT7XIOX0GI69POTIHWJEWTOA0W8Q","Find the author and emails of articles","Click on the website link and find out the authors and their emails of the specified article.","data collection, website, data extraction","$0.20","Fri Aug 30 02:54:17 PDT 2019",1,"BatchId:3752080;OriginalHitTemplateId:926158632;",600,604800,"Sat Aug 31 02:54:17 PDT 2019",NA,NA,"3ZGVPD4G6VWOVGBS4DBJDIPY0QVTZA","A13T8GV5PDF82B","Approved","Fri Aug 30 03:02:30 PDT 2019","Fri Aug 30 03:05:56 PDT 2019","Fri Sep 06 03:05:56 PDT 2019","Tue Sep 03 10:28:46 PDT 2019","","",206,"100% (2/2)","100% (2/2)","0% (0/0)","https://scholar.google.com.sg/scholar?start=20&q=""""factorial+survey""""&hl=en&as_sdt=0,5&as_ylo=1995&as_yhi=1995""
",3,"Police use of excessive force: Does the race of the suspect influence citizens' perceptions?","Dennis M.","Mark S.","Indiana University","Columbus","Social Justice Research","Rome","Davis","{}","x",""
"10","31JUPBOOROJJ6N46WC4EQNMOC2QL82","3XAT7XIOX0GI69POTIHWJEWTOA0W8Q","Find the author and emails of articles","Click on the website link and find out the authors and their emails of the specified article.","data collection, website, data extraction","$0.20","Fri Aug 30 02:54:27 PDT 2019",1,"BatchId:3752080;OriginalHitTemplateId:926158632;",600,604800,"Sat Aug 31 02:54:27 PDT 2019",NA,NA,"3OWEPKL08BR7GT02OMXODZQ71F17N0","A3O00SDUZVS4HD","Approved","Fri Aug 30 04:08:52 PDT 2019","Fri Aug 30 04:14:36 PDT 2019","Fri Sep 06 04:14:36 PDT 2019","Tue Sep 03 10:28:45 PDT 2019","","",344,"100% (3/3)","100% (3/3)","0% (0/0)","https://scholar.google.com.sg/scholar?start=0&q=""""factorial+survey""""&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=1990""
",4,"Factorial Validity of Brief Satisfaction Scales in Surveys of Mormon, Roman Catholic, and Protestant Fathers","Ken","Emerson","National Center for Fathering","Michigan State University","Psychological Reports","Canfield","Eggerichs","{}","x",""
