"name","institution","delete"
"Irene Røen","Innlandet Hospital Trust",""
"Kirsten Martin","George Washington University School of Business",""
"Crystal Chapman Lambert","University of Alabama",""
"Alex M Cressman","Faculty of Medicine, University of Toronto, Toronto, Ontario, Canada",""
"Sura Searan","University of Anbar",""
"Roger Millsap","Clinical Psychology & Psychotherapy",""
"Dylan Mezzio","Xcenda",""
"Lianne Kokoska","Harper University Hospital, Detroit Medical Center",""
"Jessica Sheringham","Department of Applied Health Research, UCL",""
"Anatoliy Gruzd","Ryerson university",""
"Davide Massidda","University of Cagliari",""
"Sebastian Sattler","Institute for Sociology and Social Psychology",""
"Muhammad Kamran","Cryptography and Security",""
"Abáigar Pedraza","General University Hospital of Alicante",""
"Paul Lowry","The University of Hong Kong",""
"A. Vinodan","School of Management Studies Cochin University of Science and Technology, Kochi, Kerala, India",""
"Valentina Stasio","University of Oxford",""
"Shantanu Debnath","Department of Production Engineering, National Institute of Technology Agartala, Tripura 799046, India",""
"MB Sruthimol","NIMHANS, Bangalore, India",""
"Tiago Correia","School of Sociology and Public Policies, ISCTE-Instituto Universitário de Lisboa, Av Forcas Armadas, 1649-026, Lisbon, Portugal",""
"Paul Lowry","University of Hong Kong",""
"Ahmad Thuraya Kaadan","Graduate School of Informatics Department of Social, Informatics Nagoya University, Nagoya, Japan",""
"Okoh Ufuoma","Apex Academy",""
"Corine Buers","Utrecht University School of Governance",""
"Merrill Warkentin","Mississippi State University",""
"Bernice Elgera","Institute for Biomedical Ethics, University of Basel, Switzerland",""
"Stephanie Thompson","University of Alberta",""
"Debby Vos","Department of Political Science, University of Antwerp",""
"Viegas , Rocío","Rocío Universitat Jaume",""
"Young Jeong Na","Massachusetts General Hospital",""
"Tsair-Wei Chien","Department of Hospital and Health Care Administration, Chia-Nan University of Pharmacy and Science, Tainan, Taiwan",""
"Christopher DeLuca","Faculty of Education, Queen’s University , Kingston, Canada",""
"Anthony Faustine","Cornell University",""
"Juan Carlos Sierra","Mind, Brain, and Behavior Research Center (CIMCYC), Universidad de Granada, Spain",""
"Flavia Fossati","Malmö Institute for Studies of Migration, Diversity and Welfare (MIM)",""
"AI Lala","“Robert PAX” Hospital Center, Sarreguemines, France",""
"J Moon","M",""
"Francesca Bruno","Alma Mater Studiorum University",""
"Allen Johnston","University of Alabama",""
"Inbal Nahum-Shani","Institute for Social Research, The University of Michigan",""
"Lilin Xiong","Nanjing Municipal Center for Disease Control and Prevention",""
"Mirko Antino","Instituto Universitário de Lisboa",""
"FAN YANG","The University of Hong Kong, China.",""
"Deirdre J. Lyell","Department of Obstetrics and Gynecology, Stanford University, Palo Alto, California",""
"Madeline Stenger","Northern Arizona University",""
"Alka Agnihotri","International Conference on Infocom Technologies and Unmanned Systems",""
"Shuen Tsai","Nat. Cheng Kung Univ",""
"Robert Costigan","St. John Fisher College",""
"Michael Parchman","Group Health Research Institute",""
"Celene Reynolds","Yale University",""
"WimVan Biesen","Ghent University Hospital",""
"Hermann Dülmer","1Institute of Sociology and Social Psychology, University of Cologne",""
"Paul Lowry","The University of Hong Kong",""
"Simon Willcock","University of Southampton",""
"Christopher Blattman","Columbia University SIPA, 420 W 118th St., New York, NY, United States",""
"N Toomanian","Pedodiversity",""
"Noah Ivers","Women’s College Research Institute and Women’s College Hospital Institute for Health Systems Solutions and Virtual Care, Toronto, Canada Department of Family and Community Medicine, Women’s College Hospital, Toronto, Canada Institute for Clinical Evaluative Studies, Toronto, Canada Department of Family and Community Medicine and Institute of Health Policy, Management and Evaluation, University of Toronto, Toronto, Canada",""
"Cláudia Tartaglia Reis","Secretaria Municipal de Saúde de Cataguases, Cataguases, Brasil.",""
"Stephanie Moser","University of Berne",""
"Mehdi Bagherzadeh","NEOMA Business School",""
"Marley Watkins","Baylor University",""
"Brett R. Blackwell","U.S. EPA, Mid-Continent Ecology Division, 6201 Congdon Boulevard, Duluth, Minnesota 55804, United States",""
"Loreena Hill","Research Fellow, Queen’s University, Belfast, Northern Ireland, United Kingdom.",""
"Priscar Sue Barasa","United States International University Africa",""
"Lynn Erbe","University of Nbraska-Lincoln",""
"D. Peipert John","University of California",""
"A. S. Masutti Thiago","Catholic University",""
"David Donato","Eastern Geographic Science Center",""
"Samantha L. Quaife","Department of Behavioural Science and Health, University College London, Gower Street, London, WC1E 6BT, UK",""
"ELEANOR DAVIES","University of Huddersfield",""
"Michel C.F. Shamy","From the Department of Medicine (M.C.F.S., R.R.) and Division of Neurology (M.C.F.S.), and School of Public Health, Preventive Medicine and Epidemiology (M.C.F.S., M.P.), University of Ottawa, Ontario, Canada; Ottawa Hospital Research Institute, Ottawa, Ontario, Canada (M.C.F.S., R.R.); Department of Neurology, University of California San Francisco (K.M., A.S.K.); and Department of History (F.W.S.), Department of Community Health Sciences (F.W.S., E.E.S.), and Department of Clinical Neurosciences (E.E.S.), University of Calgary, Alberta, Canada.",""
